valid_name,old,new,exclude
Alyssum alyssoides,0,6,Y
Ambrosia artemisiifolia,0,4,
Anthemis arvensis,2,0,
Anthemis austriaca,1,0,
Anthemis ruthenica,7,7,
Anthriscus cerefolium,0,1,Y
Apera spica-venti,3,0,Y
Arabidopsis thaliana,7,15,Y
Arabis auriculata,0,2,Y
Arenaria serpyllifolia,2,23,Y
Bassia laniflora,3,0,Y
Berteroa incana,7,5,
Bromus hordeaceus,9,23,
Bromus sterilis,0,5,
Bromus tectorum,7,11,
Buglossoides arvensis,1,0,Y
Camelina microcarpa,1,5,
Capsella bursa-pastoris,2,0,
Centaurea cyanus,2,0,Y
Cerastium brachypetalum,4,7,Y
Cerastium glutinosum agg. + semidecandrum,19,59,Y
Cerastium tenoreanum,0,3,Y
Chenopodium album agg.,3,0,
Consolida regalis,1,0,
Conyza canadensis,14,20,
Corispermum pallasii,1,0,Y
Crepis capillaris,1,0,
Crepis foetida,,, 
Crepis tectorum,1,1,
Cruciata pedemontana,2,1,
Descurainia sophia,0,1,
Digitaria sanguinalis,4,0,Y
Erophila verna agg.,3,12,Y
Fallopia convolvulus,2,5,
Filago arvensis,1,0,
Filago germanica,3,1,
Filago minima,8,9,
Galium aparine,0,3,
Galium spurium,0,2,
Geranium pusillum,1,9,
Holosteum umbellatum,4,14,Y
Lactuca serriola,1,0,
Lamium amplexicaule,0,2,Y
Lamium purpureum,1,4,Y
Lepidium campestre,0,1,
Medicago lupulina,1,6,
Medicago minima,2,9,Y
Microthlaspi perfoliatum,0,4,Y
Myosotis arvensis,1,2,
Myosotis ramosissima,16,14,Y
Myosotis stricta,2,13,Y
Papaver rhoeas,0,1,
Petrorhagia prolifera,3,18,
Plantago arenaria,5,2,
Poa annua,2,1,
Polygonum aviculare agg.,1,0,Y
Raphanus raphanistrum,1,0,
Rhinanthus minor,1,0,
Salsola tragus,2,0,Y
Saxifraga tridactylites,0,2,Y
Scleranthus annuus,0,5,
Scleranthus polycarpos,8,10,
Senecio vernalis,0,12,Y
Senecio viscosus,1,0,
Setaria pumila,1,0,Y
Setaria viridis,3,0,Y
Sisymbrium altissimum,1,0,
Sonchus oleraceus,0,1,
Spergula morisonii,10,15,Y
Spergula pentandra,2,0,Y
Stellaria media,1,4,
Thlaspi arvense,0,2,Y
Trifolium arvense,15,36,
Trifolium campestre,10,20,
Trifolium dubium,3,6,
Trifolium striatum,0,2,
Valerianella locusta,3,8,Y
Veronica arvensis,18,43,
Veronica dillenii,12,24,Y
Veronica sublobata,0,2,Y
Veronica verna,5,5,Y
Vicia angustifolia,9,27,
Vicia hirsuta,10,25,Y
Vicia lathyroides,12,21,Y
Vicia sativa,0,3,
Vicia tetrasperma,1,5,Y
Viola arvensis,13,17,
Viola tricolor,6,4,
Vulpia myuros,0,1,
