Taxon,habitat
Aegopodium podagraria,ruderal
Agrostis vinealis,sand
Amaranthus retroflexus,ruderal
Anagallis arvensis,ruderal
Anthriscus sylvestris,ruderal
Apera spica-venti,ruderal
Arenaria serpyllifolia agg.,sand
Armeria elongata subsp. elongata,sand
Artemisia vulgaris,ruderal
Atriplex patula,ruderal
Avena fatua,ruderal
Avenella flexuosa,ruderal
Ballota nigra,ruderal
Calamagrostis epigejos,ruderal
Capsella bursa-pastoris,ruderal
Carduus acanthoides,ruderal
Carex stenophylla,sand
Carex supina,sand
Centaurea cyanus,ruderal
Cerastium pumilum agg.,sand
Cerastium semidecandrum,sand
Chaerophyllum aromaticum,ruderal
Chenopodium album agg.,ruderal
Chenopodium polyspermum,ruderal
Cirsium arvense,ruderal
Convolvulus arvensis,ruderal
Corynephorus canescens,sand
Cynodon dactylon,sand
Digitalis purpurea,ruderal
Elymus repens,ruderal
Epilobium angustifolium,ruderal
Erophila verna,sand
Erysimum diffusum,sand
Euphorbia exigua,ruderal
Euphorbia helioscopia,ruderal
Fallopia convolvulus,ruderal
Festuca brevipila,sand
Festuca psammophila subsp. dominii,sand
Festuca psammophila subsp. psammophila,sand
Filago minima,sand
Geranium pusillum,ruderal
Helichrysum arenarium,sand
Herniaria glabra,ruderal
Herniaria glabra,sand
Jasione montana,sand
Koeleria glauca,sand
Lamium amplexicaule,ruderal
Lamium purpureum,ruderal
Lapsana communis,ruderal
Lepidium ruderale,ruderal
Linaria genistifolia,sand
Lolium perenne,ruderal
Matricaria discoidea,ruderal
Melilotus albus,ruderal
Myosotis arvensis,ruderal
Myosotis stricta,sand
Oenothera species,sand
Papaver rhoeas,ruderal
Persicaria maculosa,ruderal
Petasites hybridus,ruderal
Pilosella officinarum,sand
Plantago major,ruderal
Poa annua,ruderal
Polygonum arenastrum,ruderal
Polygonum aviculare,ruderal
Raphanus raphanistrum,ruderal
Rubus idaeus,ruderal
Rumex acetosella,sand
Scleranthus annuus,ruderal
Scleranthus perennis,sand
Sclerochloa dura,ruderal
Senecio sylvaticus,ruderal
Sherardia arvensis,ruderal
Silene noctiflora,ruderal
Silene otites,sand
Silene viscosa,sand
Sinapis arvensis,ruderal
Solidago canadensis,ruderal
Sonchus arvensis,ruderal
Sonchus asper,ruderal
Spergula arvensis,ruderal
Spergula morisonii,sand
Stellaria media,ruderal
Tanacetum vulgare,ruderal
Thlaspi arvense,ruderal
Thymus serpyllum,sand
Trifolium arvense,sand
Trifolium campestre,sand
Tripleurospermum inodorum,ruderal
Urtica dioica,ruderal
Veronica dillenii,sand
Veronica persica,ruderal
Veronica polita,ruderal
Veronica verna,sand
Vicia angustifolia,ruderal
Vicia lathyroides,sand
Viola arvensis,ruderal
Achillea pannonica,dry grassland
Achillea setacea,dry grassland
Aconitum variegatum,ruderal
Adonis aestivalis,ruderal
Aethusa cynapium,ruderal
Agropyron pectinatum,ruderal
Agrostis vinealis,dry grassland
Aira praecox,sand
Alliaria petiolata,ruderal
Amaranthus albus,ruderal
Amaranthus powellii,ruderal
Anthemis arvensis,ruderal
Anthemis cotula,ruderal
Anthemis ruthenica,ruderal
Aphanes arvensis,ruderal
Aphanes australis,ruderal
Arabidopsis thaliana,ruderal
Arctium lappa,ruderal
Arctium minus,ruderal
Arctium tomentosum,ruderal
Armeria elongata subsp. elongata,dry grassland
Arnoseris minima,ruderal
Artemisia absinthium,ruderal
Artemisia campestris,sand
Artemisia campestris,dry grassland
Asperula cynanchica,dry grassland
Astragalus austriacus,dry grassland
Astragalus exscapus,dry grassland
Atriplex sagittata,ruderal
