releve_nr,country,reference,table_nr,nr_in_tab,coverscale,author,date,syntaxon,surf_area,altitude,exposition,inclinatio,cov_total,cov_trees,cov_shrubs,cov_herbs,cov_mosses,cov_lichen,cov_algae,cov_litter,cov_water,cov_rock,tree_high,tree_low,shrub_high,shrub_low,herb_high,herb_low,herb_max,crypt_high,moss_ident,lich_ident,remarks,coord_code,rs_project,resurvey,rs_site,rs_plot,rs_observ,plot_shape,manipulate,maniptyp,loc_method,data_owner,eva_access,longitude,latitude,precision,locality,field_nr,habitat,geology,soil,s_ph_h2o,esy_code,esy_name,plot_observation_id,plot_id,nr_table_in_publ,cover_scale_name,name_association,name_alliance,expert_system,dataset,surveyor,old_releve_nr,loc_match,gps_match,new_site,cov_ground,conserv,management,subplot,longitude2,latitude2,longitude3,latitude3,longitude4,latitude4,year,time,orig,import_nr,name_all,name_ass,plot_type
115548,CZ,101086,6,1,02,0937,20030510,23AA,16,180,,0,90,0,0,75,85,0,0,0,0,0,0,0,0,0,45,10,55,0,Y,Y,,01,,Y,6,9,6_9_1,,N,,,,0,171717,485630,,"Bzenec,východně od žel. zastávky Bzenec přívoz u trati Hodonín-Bzenec přívoz,u označení trati 118,6",01-Mar,"pás bezlesí na písku, nenarušované, nezastíněné stanoviště cca. 10m od trati",půda silně písčitá s minimální vrstvou humusu,,4.6,TGA01,Diantho serotini-Festucetum vaginatae,,,,,,,,,,,,,,,,,,,,,,,,2003,old,,,,,resampling
115549,CZ,101086,6,2,02,0937,20030510,23AA,16,180,225,10,20,0,0,15,20,0,0,0,0,0,0,0,0,0,15,5,18,0,Y,Y,,01,,Y,6,79,6_79_1,,N,,,,0,171706,485627,,"Bzenec,východně od žel. zastávky Bzenec přívoz u trati Hodonín-Bzenec přívoz,u označení trati 118,4",02-Mar,"sešlapávaná písčitá cesta, večer pravděpodobně zastíněná.",půda silně písčitá,,4.2,TGA01,Diantho serotini-Festucetum vaginatae,,,,,,,,,,,,,,,,,,,,,,,,2003,old,,,,,resampling
115550,CZ,101086,7,3,02,0937,20030511,26BB,16,190,,0,75,0,0,50,70,0,0,0,0,0,0,0,0,0,40,10,140,0,Y,Y,,01,,Y,1,22,1_22_1,,N,,,,0,171739,485800,,"Bzenec, PP Vojenské cvičiště Bzenec cca 2,5 km JV od kostela v Bzenci",03-Mar,"souvislý porost na písku, nenarušované a nezastíněné místo",půda silně písčitá,,4.3,?,,,,,,,,,,,,,,,,,,,,,,,,,2003,old,,,,,resampling
115551,CZ,101086,6,4,02,0937,20030511,23AA,15,200,,0,25,0,0,14,20,0,0,0,0,0,0,0,0,0,10,5,13,0,Y,Y,Plocha 3x5 m.,01,,Y,1,77,1_77_1,,N,,,,0,171738,485800,,"Bzenec, PP Vojenské cvičiště Bzenec cca 2,3 km JV od kostela v Bzenci",04-Mar,"sešlapávaná, nezastíněná cesta na písku",půda silně písčitá,,4.2,TFA01,Corniculario aculeatae-Corynephoretum canescentis,,,,,,,,,,,,,,,,,,,,,,,,2003,old,,,,,resampling
115552,CZ,101086,7,5,02,0937,20030517,26BB,16,200,,0,75,0,0,60,65,0,0,0,0,0,0,0,0,0,75,15,120,0,Y,Y,,01,,Y,1,83,1_83_1,,N,,,,0,171737,485800,,"Bzenec, PP Vojenské cvičiště Bzenec cca 2,1 km JJV od kostela v Bzenci",05-Mar,Nenarušovaná plocha 100m od zemědělského objektu (možnost ovlivnění eutrofizací).,půda silně písčitá,,5.5,TGA01,Diantho serotini-Festucetum vaginatae,,,,,,,,,,,,,,,,,,,,,,,,2003,old,,,,,resampling
115553,CZ,101086,8,6,02,0937,20040514,39,16,180,,0,70,0,0,70,0,0,0,0,0,0,0,0,0,0,20,15,50,0,Y,Y,Veronica sp. = V. praecox v orig. (pravděpod. determinač,02,,Y,8,15,8_15_1,,N,,,,0,165015,484420,,"Břeclav, Boří les, cca 2km Z od žel. zastávky Boří les na J straně kolejí Valtice-Břeclav.",01-Apr,"Nenarušovaná travnatá plocha cca. 5m od kolejí, bez zastínění, s velkým množstvím odumřelé biomasy",půda hlinitopísčitá,,5.8,?,,,,,,,,,,,,,,,,,,,,,,,,,2004,old,,,,,resampling
115554,CZ,101086,6,7,02,0937,20040514,37AA,12,170,90,1,30,0,0,30,0,0,0,0,0,0,0,0,0,0,10,5,25,0,Y,Y,Plocha 2x6 m.,02,,Y,8,16,8_16_1,,N,,,,0,165042,484418,,"Břeclav, Boří les, cca 1,5km Z od žel. zastávky Boří les jižně od žel. trati Valtice-Břeclav.",02-Apr,"Sešlapávaná písčitá lesní cesta, pravděpodobně bez zastínění",půda silně písčitá,,6,?,,,,,,,,,,,,,,,,,,,,,,,,,2004,old,,,,,resampling
115556,CZ,101086,6,9,02,0937,20040516,23AA01,16,205,,0,80,0,0,75,50,0,0,0,0,0,0,0,0,0,30,15,45,0,Y,Y,,02,,Y,7,81,7_81_1,,N,,,,0,170830,485308,,"Hodonín, část Pánov, Hrubá louka cca. 2,5 km SSV od železničního nádraží Hodoní",04-Apr,"Neúplně zapojený, občas narušovaný porost cca. 10m od cesty.",půda silně písčitá,,4.6,?,,,,,,,,,,,,,,,,,,,,,,,,,2004,old,,,,,resampling
115557,CZ,101086,6,10,02,0937,20040516,23AA01,16,210,135,5,60,0,0,50,50,0,0,0,0,0,0,0,0,0,30,10,50,0,Y,Y,,02,,Y,7,80,7_80_1,,N,,,,0,170823,485319,,"Hodonín, část Pánov, Hrubá louka  cca. 2,7 km SSV od žel. nádraží Hodonín.",05-Apr,"Plocha ještě před dvěma lety využívaná jako tankodrom, dnes cvičiště na paint-ball.",půda silně písčitá,,4.7,?,,,,,,,,,,,,,,,,,,,,,,,,,2004,old,,,,,resampling
115560,CZ,101086,6,13,02,0937,20040521,25AD,15,190,225,40,50,0,0,25,50,0,0,0,0,0,0,0,0,0,25,15,50,0,Y,Y,Plocha 3x5 m.,02,,Y,5,7,5_7_1,,N,,,,0,171202,485347,,"Rohatec, nepoužívaná trať z Ratíškovic do Rohatec kolonie cca. 400m SV od žel. stanice Rohatec",08-Apr,"Svah na SV straně kolejí, při dešti eroduje.",půda silně písčitá,,5.5,?,,,,,,,,,,,,,,,,,,,,,,,,,2004,old,,,,,resampling
