releve_nr,valid_name,layer,kk_coverperc,to_br_bl_old,exclude,new_name
115548,Artemisia campestris,6,0.1,0.1,,
115548,Carex hirta,6,0.5,0.5,,
115548,Carex praecox,6,10,15,,
115548,Carex supina,6,10,15,,
115548,Centaurea cyanus,6,0.5,0.5,,
115548,Centaurea stoebe,6,0.5,0.5,,
115548,Cerastium brachypetalum,6,0.5,0.5,,
115548,Cynodon dactylon,6,0.5,0.5,,
115548,Festuca valesiaca s. l.,6,3,3,,
115548,Festuca psammophila subsp. dominii,6,5,15,,
115548,Helichrysum arenarium,6,0.5,0.5,,
115548,Pilosella officinarum,6,0.5,0.5,,
115548,Hypericum perforatum,6,0.5,0.5,,
115548,Poa pratensis agg.,6,10,15,,
115548,Potentilla argentea,6,0.5,0.5,,
115548,Potentilla collina,6,0.1,0.1,,
115548,Scleranthus polycarpos,6,0.5,0.5,,
115548,Hylotelephium maximum,6,0.5,0.5,,
115548,Seseli osseum,6,0.5,0.5,,
115548,Spergula morisonii,6,0.5,0.5,,
115548,Spergula pentandra,6,5,15,,
115548,Stipa borysthenica,6,20,15,,
115548,Thymus serpyllum,6,0.5,0.5,,
115548,Trifolium alpestre,6,3,3,,
115548,Verbascum phoeniceum,6,10,15,,
115549,Carex praecox,6,0.5,0.5,,
115549,Cynodon dactylon,6,3,3,,
115549,Festuca psammophila subsp. dominii,6,10,15,,
115549,Scleranthus perennis,6,3,3,,
115549,Scleranthus polycarpos,6,0.5,0.5,,
115549,Spergula morisonii,6,0.5,0.5,,
115549,Veronica dillenii,6,0.5,0.5,,
115550,Agrostis stolonifera,6,0.1,0.1,,
115550,Agrostis vinealis,6,3,3,,
115550,Artemisia campestris,6,0.5,0.5,,
115550,Calamagrostis epigejos,6,37.5,37.5,,
115550,Carex hirta,6,0.5,0.5,,
115550,Centaurea cyanus,6,0.1,0.1,,
115550,Cynodon dactylon,6,3,3,,
115550,Erigeron annuus agg.,6,0.1,0.1,,
115550,Eryngium campestre,6,0.5,0.5,,
115550,Euphorbia cyparissias,6,0.1,0.1,,
115550,Pilosella officinarum,6,0.5,0.5,,
115550,Hypericum perforatum,6,0.5,0.5,,
115550,Poa pratensis agg.,6,10,15,,
115550,Potentilla argentea,6,10,15,,
115550,Thymus serpyllum,6,0.1,0.1,,
115550,Verbascum phlomoides,6,0.1,0.1,,
115551,Bromus tectorum,6,0.1,0.1,,
115551,Corynephorus canescens,6,10,15,,
115551,Cynodon dactylon,6,3,3,,
115551,Filago minima,6,0.5,0.5,,
115551,Poa pratensis agg.,6,0.1,0.1,,
115551,Scleranthus polycarpos,6,0.1,0.1,,
115551,Spergula morisonii,6,3,3,,
115552,Achillea millefolium agg.,6,3,3,,
115552,Artemisia campestris,6,0.5,0.5,,
115552,Bellis perennis,6,0.5,0.5,,
115552,Berteroa incana,6,0.5,0.5,,
115552,Calamagrostis epigejos,6,20,15,,
115552,Carex hirta,6,0.5,0.5,,
115552,Carex praecox,6,3,3,,
115552,Centaurea stoebe,6,0.5,0.5,,
115552,Chondrilla juncea,6,0.1,0.1,,
115552,Cynodon dactylon,6,0.5,0.5,,
115552,Eryngium campestre,6,0.1,0.1,,
115552,Erysimum diffusum agg.,6,0.1,0.1,,
115552,Festuca valesiaca s. l.,6,0.5,0.5,,
115552,Hypericum perforatum,6,0.5,0.5,,
115552,Melica transsilvanica,6,0.1,0.1,,
115552,Oenothera species,6,0.5,0.5,,
115552,Plantago lanceolata,6,0.5,0.5,,
115552,Poa pratensis agg.,6,3,3,,
115552,Potentilla argentea,6,10,15,,
115552,Silene latifolia subsp. alba,6,0.5,0.5,,
115552,Trifolium arvense,6,0.5,0.5,,
115552,Verbascum phlomoides,6,0.5,0.5,,
115552,Vicia hirsuta,6,0.5,0.5,,
115553,Achillea millefolium agg.,6,3,3,,
115553,Ajuga genevensis,6,0.1,0.1,,
115553,Anthoxanthum odoratum,6,0.5,0.5,,
115553,Arabidopsis thaliana,6,0.5,0.5,,
115553,Arrhenatherum elatius,6,3,3,,
115553,Carex hirta,6,10,15,,
115553,Cerastium arvense,6,0.5,0.5,,
115553,Convolvulus arvensis,6,0.1,0.1,,
115553,Dactylis glomerata,6,3,3,,
115553,Elymus repens,6,10,15,,
