TaxonOriginal,TaxonFloraVeg,Status,RegionFloraVeg,TaxonKaplan
Abies alba,Abies alba,LC,Czechia,Abies alba
Abies cephalonica,Abies cephalonica,LC(NA),Czechia,Abies cephalonica
Abies concolor,Abies concolor,LC(NA),Czechia,Abies concolor
Abies grandis,Abies grandis,LC(NA),Czechia,Abies grandis
Abies homolepis,Abies homolepis,LC(NA),Czechia,Abies homolepis
Abies nordmanniana,Abies nordmanniana,LC(NA),Czechia,Abies nordmanniana
Abutilon theophrasti,Abutilon theophrasti,LC(NA),Czechia,Abutilon theophrasti
Acacia farnesiana,,LC(NA),Czechia,Acacia farnesiana
Acanthus hungaricus,Acanthus hungaricus,LC(NA),Czechia,Acanthus hungaricus
Acer campestre,Acer campestre,LC(NA),Czechia,Acer campestre
Acer ginnala,,LC(NA),Czechia,Acer ginnala
Acer japonicum,Acer japonicum,LC(NA),Czechia,Acer japonicum
Acer monspessulanum,Acer monspessulanum,LC(NA),Czechia,Acer monspessulanum
Acer negundo,Acer negundo,LC(NA),Czechia,Acer negundo
Acer palmatum,,LC(NA),Czechia,Acer palmatum
Acer platanoides,Acer platanoides,LC(NA),Czechia,Acer platanoides
Acer pseudoplatanus,Acer pseudoplatanus,LC(NA),Czechia,Acer pseudoplatanus
Acer saccharinum,Acer saccharinum,LC(NA),Czechia,Acer saccharinum
Acer tataricum,Acer tataricum,LC(NA),Czechia,Acer tataricum
Achillea asplenifolia,Achillea aspleniifolia,CR,Czechia,Achillea asplenifolia
Achillea chrysocoma,Achillea chrysocoma,LC(NA),Czechia,Achillea chrysocoma
Achillea collina,Achillea collina,LC(NA),Czechia,Achillea collina
Achillea crithmifolia,Achillea crithmifolia,LC(NA),Czechia,Achillea crithmifolia
Achillea filipendulina,Achillea filipendulina,LC(NA),Czechia,Achillea filipendulina
Achillea grandifolia,Achillea grandifolia,LC(NA),Czechia,Achillea grandifolia
Achillea millefolium subsp. sudetica,Achillea millefolium subsp. sudetica,LC,Czechia,Achillea millefolium subsp. sudetica
