releve_nr,valid_name,to_br_bl_old
1,Achillea millefolium agg.,0.5
1,Artemisia campestris,0.5
1,Carex hirta,0.5
1,Corynephorus canescens,3
1,Euphorbia cyparissias,0.5
1,Pilosella officinarum,15
1,Hypericum perforatum,0.5
1,Hypochaeris radicata,0.5
1,Linaria genistifolia,0.5
1,Pinus sylvestris,0.5
1,Poa pratensis agg.,0.5
1,Rumex acetosella,0.5
1,Thymus serpyllum,0.5
2,Armeria elongata subsp. elongata,0.5
2,Calamagrostis epigejos,3
2,Carex hirta,0.5
2,Carex praecox,0.5
2,Cerastium holosteoides,0.5
2,Convolvulus arvensis,0.5
2,Corynephorus canescens,0.5
2,Euphorbia cyparissias,0.5
2,Helichrysum arenarium,0.5
2,Pilosella officinarum,0.5
2,Hypericum perforatum,3
2,Hypochaeris radicata,0.5
2,Linaria genistifolia,0.5
2,Pinus sylvestris,0.5
2,Poa pratensis agg.,15
2,Potentilla argentea,0.5
2,Rumex acetosella,0.5
2,Thymus serpyllum,0.5
3,Corynephorus canescens,15
3,Erigeron annuus agg.,0.5
3,Hypericum perforatum,0.5
3,Rumex acetosella,0.5
4,Corynephorus canescens,15
4,Rumex acetosella,0.5
6,Achillea millefolium agg.,0.5
6,Armeria elongata subsp. elongata,15
6,Arrhenatherum elatius,0.5
6,Avenula pubescens,15
6,Carex hirta,0.5
6,Carex praecox,0.5
6,Dianthus carthusianorum agg.,0.5
6,Euphorbia cyparissias,0.5
6,Falcaria vulgaris,0.5
6,Festuca pratensis,0.5
6,Festuca rubra,0.5
6,Galium album s. l.,0.5
6,Galium verum,0.5
6,Plantago lanceolata,3
6,Poa pratensis agg.,15
6,Silene latifolia subsp. alba,0.5
6,Tragopogon dubius,0.5
7,Anthoxanthum odoratum,15
7,Calamagrostis epigejos,15
7,Elymus repens,15
7,Euphorbia cyparissias,15
7,Festuca rubra,0.5
7,Hypochaeris radicata,0.5
7,Poa pratensis agg.,0.5
7,Potentilla argentea,0.5
7,Quercus robur,0.5
7,Rumex acetosella,0.5
7,Silene latifolia subsp. alba,15
7,Taraxacum sect. Taraxacum,0.5
7,Tragopogon dubius,0.5
7,Vicia villosa subsp. villosa,0.5
8,Achillea millefolium agg.,0.5
8,Arrhenatherum elatius,15
8,Centaurea stoebe,0.5
8,Convolvulus arvensis,0.5
8,Echium vulgare,0.5
8,Elymus repens,15
8,Euphorbia cyparissias,0.5
8,Festuca rubra,0.5
8,Plantago lanceolata,0.5
8,Poa pratensis agg.,37.5
8,Potentilla argentea,0.5
8,Rumex thyrsiflorus,15
8,Scabiosa ochroleuca,0.5
8,Securigera varia,0.5
8,Silene latifolia subsp. alba,0.5
8,Vicia villosa subsp. villosa,3
9,Anthoxanthum odoratum,0.5
9,Arrhenatherum elatius,15
9,Artemisia campestris,3
9,Calamagrostis epigejos,0.5
9,Carex caryophyllea,15
9,Carex hirta,0.5
9,Carex praecox,15
9,Centaurea stoebe,0.5
9,Cynodon dactylon,0.5
9,Elymus repens,0.5
9,Euphorbia cyparissias,0.5
9,Festuca valesiaca s. l.,3
9,Hypericum perforatum,0.5
9,Hypochaeris radicata,0.5
9,Luzula multiflora,0.5
9,Poa compressa,0.5
9,Poa pratensis agg.,3
9,Potentilla verna agg.,0.5
9,Rumex acetosella,0.5
9,Scabiosa ochroleuca,0.5
9,Silene latifolia subsp. alba,0.5
9,Verbascum phoeniceum,3
10,Anthoxanthum odoratum,0.5
10,Calamagrostis epigejos,0.5
10,Corynephorus canescens,15
10,Hypericum perforatum,15
10,Pinus sylvestris,0.5
10,Poa pratensis agg.,3
10,Rumex acetosella,0.5
10,Verbascum thapsus,0.5
