valid_name,woody
Acer campestre,T
Acer negundo,T
Acer pseudoplatanus,T
Achillea millefolium agg.,
Acinos arvensis,
Agrimonia eupatoria,
Agrostis capillaris,
Agrostis stolonifera,
Agrostis vinealis,
Ailanthus altissima,
Ajuga genevensis,
Ajuga reptans,
Allium flavum,
Allium oleraceum,
Allium scorodoprasum,
Alopecurus pratensis,
Anchusa officinalis,
Anthericum ramosum,
Anthoxanthum odoratum,
Anthyllis vulneraria,
Arabis glabra,
Arabis hirsuta,
Aristolochia clematitis,
Armeria elongata subsp. elongata,
Arrhenatherum elatius,
Artemisia campestris,
Artemisia vulgaris,
Asclepias syriaca,
Asparagus officinalis,
Asperula cynanchica,
Astragalus austriacus,
Astragalus onobrychis,
Avenula pratensis,
Avenula pubescens,
Bellis perennis,
Betonica officinalis,
Bothriochloa ischaemum,
Brachypodium pinnatum,
Brachypodium sylvaticum,
Briza media,
Bromus erectus,
Bromus inermis,
Calamagrostis epigejos,
Carduus acanthoides,
Carduus nutans,
Carex caryophyllea,
Carex digitata var. digitata,
Carex hirta,
Carex humilis,
Carex liparocarpos,
Carex muricata agg.,
Carex praecox,
Carex stenophylla,
Carex supina,
Carex tomentosa,
Carlina vulgaris,
Centaurea scabiosa,
Centaurea stoebe,
Centaurium erythraea,
Cerastium arvense,
Cerastium holosteoides,
Chamaecytisus austriacus,
Chamaecytisus ratisbonensis,
Chamaecytisus supinus,
Chelidonium majus,
Chondrilla juncea,
Cirsium arvense,
Cirsium vulgare,
Clinopodium vulgare,
Colchicum autumnale,
Convolvulus arvensis,
Corynephorus canescens,
Crataegus species,T
Crepis foetida subsp. foetida,
Cruciata laevipes,
Cynodon dactylon,
Cynoglossum hungaricum,
Cynoglossum officinale,
Dactylis glomerata,
Danthonia decumbens,
Daphne cneorum,
Daucus carota,
Dianthus carthusianorum agg.,
Dianthus serotinus,
Dorycnium germanicum,
Echium vulgare,
Elymus hispidus,
Elymus repens,
Epilobium angustifolium,
Equisetum arvense,
Equisetum ramosissimum,
Erigeron acris agg.,
Erigeron annuus agg.,
Erodium cicutarium,
Eryngium campestre,
Erysimum diffusum agg.,
Euonymus europaeus,
Euphorbia cyparissias,
Euphorbia esula,
Euphorbia seguieriana,
Falcaria vulgaris,
Festuca brevipila,
Festuca ovina s. l.,
Festuca pratensis,
Festuca psammophila subsp. dominii,
Festuca pulchra,
Festuca rubra,
Festuca valesiaca s. l.,
Filipendula vulgaris,
Fragaria vesca,
Fragaria viridis,
Frangula alnus,T
Fraxinus ornus,T
Galatella linosyris,
Galium album s. l.,
Galium boreale subsp. boreale,
Galium glaucum,
Galium pumilum,
Galium verum,
Gentiana cruciata,
Geum urbanum,
Globularia bisnagarica,
Gypsophila paniculata,
Helichrysum arenarium,
